"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"District of Columbia","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","50","9,030","2,282","350"
"District of Columbia","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","54","21,945","5,031","805"
"District of Columbia","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","78","75,995","18,017","2,471"
"District of Columbia","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","30","59,680","13,413","1,925"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","70","68,114","15,066","2,223"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","22","3,094","166","32"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","11","2,988","440","98"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","10","2,295","581","123"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","10","8,351","1,920","305"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","11","20,642","5,102","837"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","6","30,744","6,857","828"
"District of Columbia","722511","Full-service restaurants","Partnerships","All establishments","2019","438","402,782","90,602","13,992"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","75","15,566","443","74"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","37","6,932","1,725","250"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","68","24,839","6,100","923"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","166","142,104","33,592","5,174"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","70","133,249","30,834","4,563"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","21","75,932","17,282","2,742"
"Florida","722511","Full-service restaurants","All establishments","All establishments","2019","17,000","9,338,660","2,401,862","436,904"
"Florida","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","4,454","316,062","35,435","7,048"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","2,489","329,390","84,326","16,898"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","2,945","810,238","212,425","41,448"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","4,337","2,759,569","726,424","137,860"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","2,148","3,094,582","817,701","144,722"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","600","1,772,995","458,873","79,661"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2019","26","227,137","58,471","8,649"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","3,807","3,019,508","767,037","143,067"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","926","63,573","7,204","1,440"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","387","48,167","11,890","2,519"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","412","110,307","27,635","5,996"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","942","612,242","157,072","31,969"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","839","1,257,988","326,686","57,960"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","282","765,129","195,805","36,826"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2019","19","162,102","40,745","6,357"
"Florida","722511","Full-service restaurants","S-corporations ","All establishments","2019","8,675","3,870,134","1,006,533","180,755"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","2,155","135,821","20,611","3,983"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","1,509","208,897","54,118","10,346"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","1,846","516,400","135,816","25,810"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","2,288","1,458,348","385,800","70,462"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","699","981,070","261,363","45,461"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","174","529,945","137,249","23,385"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 250 to 499 employees","2019","4","39,653","11,576","1,308"
"Florida","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","1,011","435,729","109,436","21,833"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","417","19,193","2,270","599"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","146","17,253","4,325","979"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","130","31,047","7,955","1,800"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","143","85,441","22,775","4,577"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","156","199,640","50,557","10,805"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","18","54,468","13,347","2,455"
"Florida","722511","Full-service restaurants","Partnerships","All establishments","2019","3,485","1,992,429","513,865","90,389"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","949","97,013","5,256","1,017"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","446","54,695","13,904","3,049"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","555","151,865","40,863","7,803"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","960","601,424","160,254","30,733"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","447","643,397","175,930","29,996"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","125","418,653","111,508","16,807"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2019","3","25,382","6,150","984"
"Florida","722511","Full-service restaurants","Non-profit","All establishments","2019","11","2,857","732","163"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2019","5","435","94","9"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2019","11","18,003","4,259","697"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2019","6","11,812","2,969","452"
"Georgia","722511","Full-service restaurants","All establishments","All establishments","2019","7,513","3,401,762","813,229","178,580"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","1,840","132,112","15,080","2,892"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","1,022","126,847","31,297","6,908"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","1,436","380,433","93,139","20,613"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","2,247","1,251,458","306,722","70,817"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","785","1,020,534","250,711","52,362"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","177","436,479","103,046","22,275"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2019","4","28,431","6,957","1,273"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","2,004","1,119,758","271,535","63,732"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","397","31,272","3,600","692"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","230","28,772","7,221","1,540"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","322","84,404","20,671","5,057"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","627","312,058","77,808","20,618"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","322","413,234","102,304","22,369"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","104","237,237","56,593","12,830"
"Georgia","722511","Full-service restaurants","S-corporations ","All establishments","2019","3,443","1,392,549","332,932","70,234"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","754","50,436","7,670","1,324"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","542","71,463","17,384","3,666"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","816","225,657","55,168","11,389"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","1,048","606,592","147,382","32,133"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","236","296,692","71,951","14,801"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","44","112,139","26,537","5,655"
"Georgia","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","714","182,914","42,123","10,433"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","353","15,803","1,971","538"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","112","11,692","2,884","735"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","93","17,113","4,336","1,216"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","98","56,221","13,359","3,198"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","49","59,715","14,303","3,560"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","9","22,370","5,270","1,186"
"Georgia","722511","Full-service restaurants","Partnerships","All establishments","2019","1,337","670,260","158,450","32,971"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","335","34,575","1,832","336"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","138","14,920","3,808","967"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","205","53,259","12,964","2,951"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","471","274,479","67,741","14,751"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","171","232,693","57,939","11,032"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","16","48,786","11,110","2,113"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2019","13","34,193","7,769","1,116"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2019","7","18,200","4,214","600"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2019","4","15,947","3,536","491"
"Hawaii","722511","Full-service restaurants","All establishments","All establishments","2019","1,263","967,329","241,246","38,181"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","249","16,780","2,440","436"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","179","27,379","6,443","1,243"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","243","72,290","18,216","3,321"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","346","254,294","63,529","10,662"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","186","325,380","80,924","12,677"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","55","206,386","53,048","7,706"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2019","4","46,692","12,400","1,385"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","393","312,687","77,962","12,932"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","66","5,803","766","113"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","51","7,088","1,865","353"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","78","26,212","6,630","1,089"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","121","88,331","22,059","3,642"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","54","94,943","24,604","3,729"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","21","65,085","16,042","2,937"
"Hawaii","722511","Full-service restaurants","S-corporations ","All establishments","2019","449","296,826","72,947","11,335"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","84","5,152","871","170"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","73","11,549","2,880","501"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","94","28,116","6,995","1,261"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","128","98,237","24,492","3,973"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","62","108,368","25,786","4,148"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","7","26,398","6,803","857"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","140","47,873","11,630","2,240"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","55","2,631","435","98"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","27","3,123","786","189"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","25","7,002","1,771","359"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","22","13,329","3,338","658"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","8","15,292","3,702","594"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","3","6,496","1,598","342"
"Hawaii","722511","Full-service restaurants","Partnerships","All establishments","2019","277","305,910","77,693","11,500"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","44","3,194","368","55"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","28","5,619","912","200"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","46","10,960","2,820","612"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","73","53,516","13,373","2,333"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","60","103,625","26,085","4,088"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","24","108,407","28,605","3,570"
"Hawaii","722511","Full-service restaurants","Non-profit","All establishments","2019","4","4,033","1,014","174"
"Idaho","722511","Full-service restaurants","All establishments","All establishments","2019","1,332","472,632","108,788","26,080"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","310","17,738","1,784","460"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","221","22,261","5,106","1,517"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","318","73,968","17,124","4,411"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","371","203,902","48,144","11,423"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","98","113,636","26,973","6,166"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","14","41,127","9,657","2,103"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","176","109,882","25,554","6,119"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","13","1,200","66","18"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","22","2,511","558","155"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","28","5,914","1,259","443"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","76","45,018","10,391","2,480"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","30","34,785","8,374","1,925"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","7","20,454","4,906","1,098"
"Idaho","722511","Full-service restaurants","S-corporations ","All establishments","2019","559","220,770","50,570","11,551"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","90","6,645","646","150"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","79","9,404","2,218","572"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","169","44,219","10,055","2,358"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","183","105,179","24,799","5,555"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","32","35,801","8,343","2,023"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","6","19,522","4,509","893"
"Idaho","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","247","33,184","7,292","2,148"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","120","5,659","606","175"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","58","3,993","949","375"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","38","7,524","1,832","523"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","26","9,439","2,328","719"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","5","6,569","1,577","356"
"Idaho","722511","Full-service restaurants","Partnerships","All establishments","2019","348","108,003","25,191","6,162"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","87","4,234","466","117"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","62","6,353","1,381","415"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","83","16,311","3,978","1,087"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","85","44,132","10,598","2,633"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","30","35,822","8,526","1,798"
"Illinois","722511","Full-service restaurants","All establishments","All establishments","2019","9,886","4,494,914","1,032,650","208,325"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","2,744","189,781","21,490","4,571"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","1,695","202,934","46,803","11,451"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","1,945","496,957","118,819","27,488"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","2,426","1,505,514","358,686","76,426"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","837","1,194,614","282,151","55,091"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","235","863,073","195,210","31,877"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2019","3","32,675","7,572","925"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","2,484","1,282,164","299,334","59,471"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","739","46,623","5,805","1,263"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","454","53,528","12,953","3,018"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","435","110,534","26,372","6,184"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","444","298,792","71,759","14,263"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","314","446,029","107,054","21,048"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","97","317,292","73,472","13,199"
"Illinois","722511","Full-service restaurants","S-corporations ","All establishments","2019","4,890","1,766,694","412,300","87,903"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","1,247","72,729","11,320","2,288"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","893","106,579","25,847","6,138"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","1,114","291,339","69,621","15,749"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","1,333","778,362","185,022","40,577"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","254","336,064","79,228","16,315"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","47","162,676","37,037","6,276"
"Illinois","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","877","231,025","52,925","12,860"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","376","16,513","1,859","571"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","188","13,776","3,482","1,214"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","121","22,607","5,501","1,681"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","130","79,906","18,714","4,351"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","50","63,903","15,373","3,502"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","12","34,320","7,996","1,541"
"Illinois","722511","Full-service restaurants","Partnerships","All establishments","2019","1,631","1,214,259","267,805","48,020"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","381","53,719","2,464","445"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","160","29,051","4,521","1,081"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","274","72,291","17,285","3,864"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","517","348,065","82,987","17,178"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","219","348,618","80,496","14,226"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","79","348,785","76,705","10,861"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2019","3","515","203","45"
"Indiana","722511","Full-service restaurants","All establishments","All establishments","2019","4,792","1,966,271","461,570","114,584"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","1,053","66,022","7,312","1,610"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","741","81,373","19,208","5,048"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","1,018","236,278","56,885","14,284"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","1,316","703,220","165,962","42,309"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","546","600,349","147,415","35,576"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","116","270,836","63,101","15,133"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","1,017","600,353","142,973","33,543"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","187","13,406","1,614","315"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","152","19,125","4,349","1,044"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","166","43,084","10,098","2,374"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","232","143,972","34,320","8,002"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","226","260,265","64,372","14,645"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","52","112,308","26,533","6,539"
"Indiana","722511","Full-service restaurants","S-corporations ","All establishments","2019","2,211","830,568","191,270","47,076"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","375","27,230","3,517","653"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","344","41,854","9,918","2,382"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","591","143,313","34,475","8,353"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","735","379,389","89,057","22,944"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","138","155,828","36,345","8,869"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","28","82,954","17,958","3,875"
"Indiana","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","605","124,944","29,239","9,487"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","237","7,333","1,107","357"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","134","9,894","2,429","869"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","73","11,608","2,815","960"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","104","41,468","9,555","3,281"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","52","46,083","11,233","3,441"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","5","8,558","2,100","579"
"Indiana","722511","Full-service restaurants","Partnerships","All establishments","2019","950","406,213","97,137","24,266"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","252","17,982","1,059","282"
