"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","4,386","2,424,846","759,426","140,597"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","2,074","2,441,407","814,524","138,999"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","591","1,343,003","459,017","78,632"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2020","22","144,154","57,020","7,263"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2020","5","70,659","23,330","3,165"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","3,755","2,436,255","801,750","144,742"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","872","52,396","9,446","1,443"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","398","48,271","12,862","2,636"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","422","108,885","31,029","6,008"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","946","516,179","163,300","32,596"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","799","965,628","320,182","54,456"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","299","597,630","207,948","39,906"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","15","84,966","36,371","5,119"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","4","62,300","20,612","2,578"
"Florida","722511","Full-service restaurants","S-corporations","All establishments","2020","8,738","3,368,781","1,009,049","176,702"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","2,197","138,326","22,387","4,173"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","1,534","192,361","54,165","10,487"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","1,927","504,120","145,065","27,089"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","2,275","1,313,071","400,097","70,720"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","647","786,149","250,609","42,349"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","154","397,272","123,983","20,571"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2020","4","37,482","12,743","1,313"
"Florida","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","1,029","337,493","110,425","21,102"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","411","20,120","2,474","600"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","144","13,399","4,139","972"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","158","35,232","10,146","2,204"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","149","74,996","24,108","4,822"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","154","142,844","51,262","10,467"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2020","12","37,799","14,477","1,712"
"Florida","722511","Full-service restaurants","Partnerships","All establishments","2020","3,564","1,650,281","544,036","93,336"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","937","78,414","5,831","1,146"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","475","56,199","16,240","3,256"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","542","127,394","40,270","7,568"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","1,010","517,333","171,057","32,288"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","471","543,677","191,224","31,542"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","126","310,302","112,609","16,443"
"Florida","722511","Full-service restaurants","Non-profit","All establishments","2020","16","2,364","678","155"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2020","8","451","111","12"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2020","3","416","148","47"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2020","3","1,390","354","79"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2020","8","5,288","1,868","297"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2020","3","1,877","510","92"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2020","3","3,109","1,247","185"
"Georgia","722511","Full-service restaurants","All establishments","All establishments","2020","7,514","2,808,891","813,503","175,230"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","1,819","123,726","17,782","2,960"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","1,055","129,994","33,972","7,101"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","1,478","354,640","98,226","21,177"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","2,222","1,061,077","307,857","68,907"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","765","801,221","244,616","51,415"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","171","324,233","103,493","22,247"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2020","3","10,676","4,349","865"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","2,008","947,249","276,070","64,856"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","384","23,505","4,035","690"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","215","27,937","6,996","1,455"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","335","79,977","21,184","5,128"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","657","291,578","83,264","21,611"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","312","342,409","103,075","21,933"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","104","178,861","55,857","13,717"
"Georgia","722511","Full-service restaurants","S-corporations","All establishments","2020","3,418","1,163,536","329,983","67,535"
"Georgia","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","731","41,471","7,390","1,388"
"Georgia","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","578","73,126","19,577","3,914"
"Georgia","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","821","209,462","58,315","11,600"
"Georgia","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","1,019","515,984","145,138","30,417"
"Georgia","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","228","240,388","70,367","14,382"
"Georgia","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","38","72,087","23,298","4,733"
"Georgia","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","684","136,596","40,833","10,030"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","322","11,980","1,897","476"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","112","11,247","2,855","710"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","95","15,460","4,267","1,270"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","91","41,283","12,416","2,920"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","57","43,896","14,939","3,787"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2020","7","12,730","4,459","867"
"Georgia","722511","Full-service restaurants","Partnerships","All establishments","2020","1,387","539,056","159,481","31,787"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","377","46,221","4,460","406"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","149","17,563","4,513","1,012"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","227","49,741","14,460","3,179"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","452","210,854","66,558","13,837"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","165","168,735","54,526","11,070"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","17","45,942","14,964","2,283"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2020","15","20,357","6,654","915"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2020","5","549","0","0"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2020","5","14,613","4,915","647"
"Hawaii","722511","Full-service restaurants","All establishments","All establishments","2020","1,237","548,084","247,947","36,789"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","242","14,157","2,599","456"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","193","21,099","7,056","1,334"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","242","52,641","19,493","3,352"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","332","160,886","67,082","10,506"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","173","170,619","80,867","11,833"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","50","99,077","54,053","7,368"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2020","4","19,371","12,013","1,378"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","375","189,327","81,008","12,497"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","55","3,307","796","119"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","52","5,574","1,892","350"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","84","18,233","7,222","1,188"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","113","56,283","22,847","3,480"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","48","52,727","23,995","3,366"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","21","39,720","17,900","3,129"
"Hawaii","722511","Full-service restaurants","S-corporations","All establishments","2020","448","178,154","74,212","10,954"
"Hawaii","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","81","5,001","1,045","165"
"Hawaii","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","84","10,741","3,558","590"
"Hawaii","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","98","22,997","7,976","1,349"
"Hawaii","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","122","61,774","25,089","3,887"
"Hawaii","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","56","57,558","24,743","3,727"
"Hawaii","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","6","12,980","6,741","819"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","131","26,514","11,601","2,124"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","56","2,790","427","112"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","20","1,675","519","134"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","21","4,245","1,500","284"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","23","8,787","3,865","698"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","9","6,152","3,689","627"
"Hawaii","722511","Full-service restaurants","Partnerships","All establishments","2020","280","152,697","80,216","11,075"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","50","3,059","331","60"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","37","3,109","1,087","260"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","39","7,166","2,795","531"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","73","33,578","15,099","2,412"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","58","53,254","27,712","4,003"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","21","43,512","27,811","3,151"
"Hawaii","722511","Full-service restaurants","Non-profit","All establishments","2020","3","1,392","910","139"
"Idaho","722511","Full-service restaurants","All establishments","All establishments","2020","1,281","414,937","114,011","25,604"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","276","14,944","1,854","467"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","235","24,470","6,383","1,638"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","283","64,777","16,969","4,039"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","386","184,417","51,988","11,975"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","88","94,603","27,767","5,596"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","13","31,726","9,050","1,889"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","189","95,114","29,011","6,455"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","21","1,408","185","50"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","15","1,643","501","93"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","33","6,879","1,818","541"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","85","38,053","12,334","2,870"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","28","31,117","9,432","1,855"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","7","16,014","4,741","1,046"
"Idaho","722511","Full-service restaurants","S-corporations","All establishments","2020","553","201,390","53,482","11,411"
"Idaho","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","80","5,397","721","137"
"Idaho","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","96","11,296","2,903","675"
"Idaho","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","151","38,037","9,920","2,132"
"Idaho","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","192","99,367","26,813","5,809"
"Idaho","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","28","31,581","8,816","1,815"
"Idaho","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","6","15,712","4,309","843"
"Idaho","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","228","26,814","7,025","2,056"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","102","3,714","467","144"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","63","4,481","1,299","437"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","37","6,880","1,900","512"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","20","6,760","1,922","566"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","6","4,979","1,437","397"
"Idaho","722511","Full-service restaurants","Partnerships","All establishments","2020","308","91,103","24,299","5,613"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","72","4,423","481","136"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","60","6,953","1,651","426"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","62","12,981","3,331","854"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","89","40,237","10,919","2,730"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","25","26,509","7,917","1,467"
"Illinois","722511","Full-service restaurants","All establishments","All establishments","2020","9,681","3,202,169","1,048,311","201,708"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","2,677","133,073","23,764","4,800"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","1,681","175,724","50,309","11,377"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","1,979","423,746","127,015","27,555"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","2,317","1,098,522","359,678","73,057"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","806","826,440","287,387","53,579"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","218","523,138","191,850","30,099"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","2,418","930,403","314,526","59,656"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","740","32,942","6,883","1,318"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","430","45,207","13,053","2,867"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","380","81,706","24,475","5,279"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","438","215,297","72,162","14,138"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","335","349,819","122,188","22,423"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","94","198,686","73,219","13,032"
"Illinois","722511","Full-service restaurants","S-corporations","All establishments","2020","4,825","1,334,018","408,052","83,959"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","1,250","59,279","12,379","2,427"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","879","95,238","27,347","5,994"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","1,178","262,337","76,789","16,495"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","1,243","588,331","181,673","38,125"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","231","229,641","72,458","14,821"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","44","99,192","37,406","6,097"
"Illinois","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","829","152,550","54,593","12,735"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","347","13,018","2,001","601"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","157","11,613","3,321","1,036"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","128","18,574","5,786","1,778"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","136","56,579","21,005","4,456"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","52","39,127","16,615","3,618"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2020","9","13,639","5,865","1,246"
"Illinois","722511","Full-service restaurants","Partnerships","All establishments","2020","1,602","784,601","270,944","45,313"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","336","27,511","2,423","444"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","214","23,650","6,584","1,473"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","291","60,871","19,851","3,975"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","500","238,315","84,838","16,338"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","188","207,853","76,126","12,717"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","71","211,621","75,360","9,724"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2020","5","511","122","22"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2020","4","323","78","10"
"Indiana","722511","Full-service restaurants","All establishments","All establishments","2020","4,737","1,681,136","473,577","113,694"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","1,057","55,399","8,843","1,783"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","718","72,914","19,623","4,883"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","1,010","217,685","58,273","14,050"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","1,332","627,122","174,962","43,016"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","499","475,175","143,217","33,579"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","119","228,617","66,925","15,889"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","1,021","500,633","150,137","34,603"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","216","12,363","2,699","406"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","130","14,119","3,781","884"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","152","36,015","9,176","2,141"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","247","135,455","38,631","8,746"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","221","207,688","65,995","14,846"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","53","90,769","28,121","7,086"
"Indiana","722511","Full-service restaurants","S-corporations","All establishments","2020","2,213","739,715","196,412","46,892"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","383","23,238","3,535","701"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","353","41,009","10,823","2,450"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","589","133,791","35,481","8,225"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","728","328,809","89,333","22,537"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","127","132,331","35,898","8,513"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","33","80,537","21,342","4,466"
"Indiana","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","574","103,065","29,137","9,215"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","219","6,431","1,223","370"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","120","7,608","2,142","773"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","84","12,387","3,543","1,133"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","100","37,320","10,255","3,319"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","47","34,730","10,390","3,185"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2020","4","4,589","1,584","435"
"Indiana","722511","Full-service restaurants","Partnerships","All establishments","2020","914","335,833","97,137","22,855"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","232","13,114","1,376","302"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","111","9,921","2,794","751"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","182","35,186","9,935","2,513"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","257","125,538","36,743","8,414"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","103","99,352","30,411","6,973"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","29","52,722","15,878","3,902"
"Indiana","722511","Full-service restaurants","Non-profit","All establishments","2020","5","315","86","28"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2020","3","251","76","19"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2020","10","1,575","668","101"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2020","6","227","10","4"
"Iowa","722511","Full-service restaurants","All establishments","All establishments","2020","2,447","627,238","175,784","44,937"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","642","31,502","4,000","987"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","458","39,311","10,646","3,106"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","575","100,943","27,995","7,942"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","577","247,848","71,256","18,142"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","164","151,112","44,724","10,741"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","31","56,522","17,163","4,019"
"Iowa","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","469","191,280","53,593","13,064"
"Iowa","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","105","6,841","718","169"
"Iowa","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","55","6,129","1,577","387"
"Iowa","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","89","16,367","4,579","1,243"
