"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2020","35","16,231","4,789","1,088"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2020","12","10,025","3,789","760"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2020","221","89,690","31,090","5,500"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2020","90","5,246","150","35"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2020","13","1,225","374","84"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2020","33","6,861","2,607","494"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2020","38","19,180","6,419","1,192"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2020","39","37,530","14,894","2,675"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2020","8","19,648","6,646","1,020"
"Alabama","722511","Full-service restaurants","All establishments","All establishments","2020","2,784","1,000,147","283,280","68,423"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","577","29,965","4,539","965"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","415","47,959","11,816","2,769"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","600","134,476","35,691","8,558"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","788","352,593","98,963","25,003"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","334","312,512","96,842","22,277"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","68","115,626","34,117","8,376"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","720","349,746","105,352","26,561"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","67","3,882","684","116"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","56","5,615","1,580","382"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","153","33,007","9,072","2,326"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","269","105,833","29,993","8,856"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","130","119,670","39,663","9,229"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","45","81,739","24,360","5,652"
"Alabama","722511","Full-service restaurants","S-corporations","All establishments","2020","1,010","355,304","95,488","21,292"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","174","12,847","1,829","295"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","180","25,052","5,928","1,193"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","255","63,375","16,306","3,523"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","311","156,876","43,067","9,600"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","76","74,539","21,969","4,848"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","13","19,162","5,646","1,588"
"Alabama","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","406","59,306","17,321","4,796"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","176","5,169","1,097","326"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","90","8,145","2,153","597"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","74","12,134","3,303","1,000"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","46","18,778","5,565","1,449"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","18","12,886","4,382","1,202"
"Alabama","722511","Full-service restaurants","Partnerships","All establishments","2020","646","235,497","64,860","15,718"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","159","8,057","929","228"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","89","9,147","2,155","597"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","118","25,960","7,010","1,709"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","162","71,106","20,338","5,098"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","109","105,133","30,569","6,942"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","8","12,531","3,290","914"
"Alaska","722511","Full-service restaurants","All establishments","All establishments","2020","541","172,594","49,162","8,262"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","184","11,316","1,522","285"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","114","19,202","4,517","804"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","111","32,012","9,215","1,605"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","105","65,074","19,800","3,128"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","18","22,548","6,776","1,206"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","8","16,377","5,668","989"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","47","16,903","5,051","892"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","15","925","118","25"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","13","2,936","570","95"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","8","2,080","634","116"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","5","3,408","1,189","144"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","4","4,308","1,382","244"
"Alaska","722511","Full-service restaurants","S-corporations","All establishments","2020","252","110,503","30,190","4,948"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","55","5,771","620","93"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","47","9,769","2,134","348"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","68","20,953","5,940","986"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","65","42,804","12,202","1,961"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","12","16,042","4,776","837"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","4","9,099","2,854","478"
"Alaska","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","122","14,251","3,896","744"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","69","2,704","542","106"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","30","3,606","1,003","201"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","14","3,594","943","196"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","9","4,347","1,408","241"
"Alaska","722511","Full-service restaurants","Partnerships","All establishments","2020","119","30,793","9,987","1,665"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","45","1,916","242","61"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","24","2,891","810","160"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","20","5,241","1,660","294"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","26","14,515","5,001","782"
"Arizona","722511","Full-service restaurants","All establishments","All establishments","2020","4,229","2,026,823","649,878","112,603"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","812","58,707","7,805","1,297"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","631","86,366","24,943","4,439"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","869","234,509","72,063","12,168"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","1,237","698,835","225,668","39,368"
